epoca,treino_loss,treino_acc,val_loss,val_acc
1,4.255245679000328,0.32392241379310344,3.3467936533534393,0.4587360594795539
2,2.3910401122323397,0.6129310344827587,2.347708087871509,0.61635687732342
3,1.4230995009685385,0.7997844827586207,1.7885491013083759,0.7219330855018588
4,0.7924021032349816,0.9351293103448276,1.4558606631693787,0.7836431226765799
5,0.4130456346890022,0.9913793103448276,1.1693106553811565,0.8297397769516729
6,0.2070481958060429,0.9997844827586206,1.0310988600812436,0.8617100371747212
7,0.11816795401532075,1.0,0.9462019423569888,0.862453531598513
8,0.07834187171839435,1.0,0.8773402234435524,0.8691449814126394
9,0.056136354058980945,1.0,0.8478809397903073,0.8728624535315985
10,0.04305581465877335,1.0,0.8196258675431674,0.8780669144981412
11,0.03415056403469423,1.0,0.7902021882259269,0.8788104089219331
12,0.02741977175504997,1.0,0.7942638247762027,0.8802973977695168
13,0.023552604758277022,1.0,0.7609320384419097,0.8780669144981412
14,0.019775528483221245,1.0,0.7409823726987307,0.8802973977695168
15,0.01665822822150999,1.0,0.7432782093831598,0.8765799256505576
16,0.01483234952460846,1.0,0.6981863363746373,0.8862453531598513
17,0.012762539538330045,1.0,0.7028621353015138,0.8869888475836432
18,0.011287128663589729,1.0,0.6875078931450844,0.8840148698884759
19,0.0099148145266648,1.0,0.6878278713077861,0.8892193308550186
20,0.008736557664413905,1.0,0.6588133323397557,0.8855018587360595
21,0.007802849160186176,1.0,0.6712735808693343,0.8892193308550186
22,0.007038829502938637,1.0,0.6568757833241309,0.8884758364312267
23,0.006359030707771408,1.0,0.637057688397435,0.8884758364312267
24,0.005835501517265521,1.0,0.6313214145573098,0.8855018587360595
25,0.005160319256788955,1.0,0.6410477321802683,0.8899628252788104
26,0.004715914467895596,1.0,0.6214808918646498,0.8899628252788104
27,0.004241803701533454,1.0,0.6200679751937053,0.8966542750929368
28,0.0038964528638612606,1.0,0.598617739285789,0.8951672862453531
29,0.0035770205961508225,1.0,0.6005700585761257,0.8944237918215613
30,0.0032625846865843855,1.0,0.5951190047866239,0.900371747211896
31,0.003052698565117116,1.0,0.6124493672571328,0.8929368029739777
32,0.0027776944378776285,1.0,0.587591181036265,0.8936802973977696
33,0.0024911274162024775,1.0,0.5797834390448926,0.895910780669145
34,0.002326582063085817,1.0,0.5742890562834461,0.8966542750929368
35,0.0020626069062614234,1.0,0.5739896313159217,0.9026022304832714
36,0.0019489716776598502,1.0,0.564088044145238,0.9018587360594795
37,0.0017810448630841385,1.0,0.5579168933807253,0.8988847583643123
38,0.0015991828316051899,1.0,0.5595442636056239,0.900371747211896
39,0.0015582539431212856,1.0,0.5523071956207982,0.8981412639405204
40,0.0013797572027121124,1.0,0.5531882457809045,0.9011152416356877
41,0.0013004521576382604,1.0,0.5427649200294984,0.8981412639405204
42,0.0011746811975548365,1.0,0.5520018465893143,0.8944237918215613
43,0.0011043258726893893,1.0,0.5424753600883827,0.8988847583643123
44,0.0009949210489265106,1.0,0.5399629556203476,0.895910780669145
45,0.000928337886580266,1.0,0.527124002186727,0.8951672862453531
46,0.0008379923093437764,1.0,0.5331914614751021,0.8973977695167287
47,0.0007787225406681156,1.0,0.544677736787437,0.895910780669145
48,0.0007532336572506304,1.0,0.5272792896885965,0.8936802973977696
49,0.0006625249551344214,1.0,0.5222015081897904,0.8973977695167287
50,0.00062608602225925,1.0,0.5068895643590828,0.9048327137546468
