modelo,accuracy,num_corretas,num_incorretas,olhos_corretas,nariz_corretas,boca_corretas,fundo_corretas,olhos_incorretas,nariz_incorretas,boca_incorretas,fundo_incorretas,face_total_corretas,face_total_incorretas,nao_face_corretas,nao_face_incorretas
min5_frozen,57.55,774,571,15.62,13.85,15.12,55.41,17.2,14.01,13.75,55.04,44.59,44.96,55.41,55.04
min5_ft,90.48,1217,128,14.38,11.89,14.32,59.41,15.11,11.39,12.69,60.8,40.59,39.2,59.41,60.8
min10_frozen,83.28,772,155,14.98,13.2,15.03,56.79,15.97,12.66,13.68,57.7,43.21,42.3,56.79,57.7
min10_ft,93.42,866,61,14.78,12.36,14.21,58.65,13.76,10.72,13.62,61.9,41.35,38.1,58.65,61.9
min5_frozen_recortado,81.93,1102,243,16.03,13.44,14.14,56.4,15.94,13.86,14.27,55.92,43.6,44.08,56.4,55.92
min5_ft_recortado,36.36,489,856,14.21,11.39,14.22,60.18,15.92,12.22,12.07,59.8,39.82,40.2,60.18,59.8
min10_frozen_recortado,88.03,816,111,16.15,13.05,13.87,56.93,15.77,13.74,14.2,56.29,43.07,43.71,56.93,56.29
min10_ft_recortado,58.25,540,387,16.27,10.68,11.4,61.65,14.52,12.17,13.78,59.52,38.35,40.48,61.65,59.52
